nome,numero
Ana Souza,(21) 94567-8901
Carlos Pereira,(21) 95678-9012
Luisa Brandão,(21) 96789-0123
Andre Almeida,(21) 97890-1234
Sofia Martins,(21) 98901-2345
Rafael Rocha,(21) 90012-3456
Laura Cardoso,(21) 91123-4567
Tiago Ferreira,(21) 92234-5678
Beatriz Santos,(21) 93345-6789
Miguel Silva,(21) 94456-7890
Carolina Costa,(21) 95567-8901
Guilherme Oliveira,(21) 96678-9012
Clara Almeida,(21) 97789-0123
Lucas Pereira,(21) 98890-1234
Julia Souza,(21) 99901-2345
Gabriel Lima,(21) 90012-3456
Geilson Machado,(21) 99270-2925
